,Year,Month,Day,height_cm,weight_kg,wage_usd,wage_usd,release_clause_usd,team_position,contract_valid_until
277,2018.0,7.0,24.0,181,71,96300.0,96300.0,57352000.0,LW,2024.0
278,2019.0,7.0,1.0,170,67,57780.0,57780.0,50825000.0,LM,2024.0
279,2018.0,8.0,29.0,179,68,41730.0,41730.0,60348000.0,LM,2024.0
280,2019.0,1.0,2.0,177,69,88810.0,88810.0,55105000.0,SUB,2024.0
281,2015.0,7.0,1.0,187,82,16050.000000000002,16050.000000000002,51788000.0,RCB,2024.0
282,2019.0,7.0,7.0,173,68,52430.0,52430.0,51788000.0,LB,2025.0
283,2018.0,7.0,1.0,188,77,14980.0,14980.0,38841000.0,GK,2024.0
284,2020.0,8.0,14.0,174,72,18190.0,18190.0,53286000.0,LM,2025.0
285,2020.0,7.0,27.0,192,86,49220.0,49220.0,45475000.0,LDM,2024.0
286,2014.0,7.0,12.0,184,78,34240.0,34240.0,33063000.000000004,GK,2024.0
287,2018.0,8.0,31.0,183,74,75970.0,75970.0,49648000.0,LS,2023.0
288,2018.0,7.0,1.0,171,62,57780.0,57780.0,52323000.0,SUB,2023.0
289,2019.0,7.0,8.0,176,72,87740.0,87740.0,48578000.0,RCM,2023.0
290,2018.0,6.0,20.0,175,73,87740.0,87740.0,48578000.0,LCM,2024.0
291,2018.0,7.0,1.0,172,64,102720.0,102720.0,46331000.0,SUB,2023.0
292,2018.0,7.0,12.0,168,65,79180.0,79180.0,44405000.0,SUB,2023.0
293,2015.0,7.0,1.0,189,80,73830.0,73830.0,43228000.0,LCB,2024.0
294,2019.0,7.0,1.0,186,76,69550.0,69550.0,37878000.0,RB,2024.0
295,2020.0,8.0,26.0,178,77,84530.0,84530.0,43335000.0,SUB,2025.0
296,2019.0,9.0,2.0,176,68,53500.0,53500.0,48578000.0,RW,2024.0
297,2017.0,7.0,24.0,185,85,123050.0,123050.0,40125000.0,LB,2022.0
298,2017.0,6.0,15.0,185,77,74900.0,74900.0,33812000.0,GK,2024.0
299,2016.0,8.0,2.0,186,78,85600.0,85600.0,42693000.0,SUB,2021.0
300,2019.0,1.0,31.0,170,70,92020.0,92020.0,41195000.0,LWB,2023.0
301,2016.0,7.0,1.0,191,93,37450.0,37450.0,32742000.000000004,GK,2023.0
302,2018.0,8.0,1.0,188,77,78110.0,78110.0,42693000.0,LS,2024.0
303,2012.0,8.0,1.0,186,79,37450.0,37450.0,52323000.0,RW,2028.0
304,2017.0,8.0,26.0,187,79,84530.0,84530.0,42265000.0,SUB,2024.0
305,2017.0,7.0,9.0,190,85,98440.0,98440.0,39055000.0,SUB,2022.0
306,2019.0,7.0,17.0,190,82,62060.0,62060.0,46545000.0,SUB,2024.0
307,2014.0,6.0,27.0,181,75,103790.0,103790.0,40125000.0,LB,2023.0
308,2018.0,6.0,21.0,169,62,123050.0,123050.0,40125000.0,SUB,2023.0
309,2020.0,1.0,30.0,175,72,48150.0,48150.0,48899000.0,LS,2025.0
310,2015.0,7.0,20.0,187,81,64200.00000000001,64200.00000000001,38627000.0,SUB,2022.0
311,2018.0,8.0,6.0,193,83,20330.0,20330.0,22898000.0,GK,2022.0
312,2017.0,3.0,22.0,170,69,14980.0,14980.0,35417000.0,RES,2023.0
313,2019.0,7.0,1.0,192,80,88810.0,88810.0,38734000.0,RCM,2024.0
